"","province","area.km2","population","density","code"
"1","An Giang",3536.7,2155.3,609,"VN-44"
"2","Bà Rịa Vũng Tàu",1989.5,1052.8,529,"VN-43"
"3","Bắc Giang",3849.7,1593.2,414,"VN-54"
"4","Bắc Kạn",4859.4,303.1,62,"VN-53"
"5","Bạc Liêu",2468.7,876.8,355,"VN-55"
"6","Bắc Ninh",822.7,1114,1354,"VN-56"
"7","Bến Tre",2359.5,1262,535,"VN-50"
"8","Bình Định",6050.6,1510.4,250,"VN-31"
"9","Bình Dương",2694.4,1802.5,669,"VN-57"
"10","Bình Phước",6871.5,921.8,134,"VN-58"
"11","Bình Thuận",7812.8,1201.2,154,"VN-40"
"12","Cà Mau",5294.9,1219.9,230,"VN-59"
"13","Cần Thơ",1409,1222.4,868,"VN-CT"
"14","Cao Bằng",6707.9,517.9,77,"VN-04"
"15","Đà Nẵng",1285.4,992.8,772,"VN-DN"
"16","Đắk Lắk",13125.4,1827.8,139,"VN-33"
"17","Đắk Nông",6515.6,553.2,85,"VN-72"
"18","Điện Biên",9562.9,527.3,55,"VN-71"
"19","Đồng Nai",5907.2,2768.7,469,"VN-39"
"20","Đồng Tháp",3378.8,1680.3,497,"VN-45"
"21","Gia Lai",15536.9,1359.9,88,"VN-30"
"22","Hà Giang",7914.9,771.2,97,"VN-03"
"23","Hà Nam",860.5,794.3,923,"VN-63"
"24","Hà Nội",3324.3,6936.9,2087,"VN-HN"
"25","Hà Tĩnh",5997.3,1242.7,207,"VN-23"
"26","Hải Dương",1656,1747.5,1055,"VN-61"
"27","Hải Phòng",1527.4,1925.2,1260,"VN-HP"
"28","Hậu Giang",1602.4,773.8,483,"VN-73"
"29","Hồ Chí Minh",2095.6,7818.2,3731,"VN-SG"
"30","Hưng Yên",926,1151.6,1244,"VN-66"
"31","Kiên Giang",6348.5,1738.8,274,"VN-47"
"32","Kon Tum",9689.6,473.3,49,"VN-28"
"33","Lai Châu",9068.8,404.5,45,"VN-01"
"34","Lâm Đồng",9773.6,1246.2,128,"VN-35"
"35","Lạng Sơn",8320.8,751.2,90,"VN-09"
"36","Lào Cai",6383.9,656.9,103,"VN-02"
"37","Long An",4491.9,1469.9,327,"VN-41"
"38","Nam Định",1652.8,1839.9,1113,"VN-67"
"39","Nghệ An",16492.7,2978.7,181,"VN-22"
"40","Ninh Bình",1378.1,927,673,"VN-18"
"41","Ninh Thuận",3358.3,587.4,175,"VN-36"
"42","Phú Thọ",3533.3,1351,382,"VN-68"
"43","Phú Yên",5060.5,883.2,175,"VN-32"
"44","Quảng Bình",8065.3,863.4,107,"VN-24"
"45","Quảng Nam",10438.4,1461,140,"VN-27"
"46","Quảng Ngãi",5152,1236.3,240,"VN-29"
"47","Quảng Ninh",6102.4,1185.2,194,"VN-13"
"48","Quảng Trị",4739.8,612.5,129,"VN-25"
"49","Sóc Trăng",3311.6,1308.3,395,"VN-52"
"50","Sơn La",14174.4,1149.3,81,"VN-05"
"51","Tây Ninh",4032.6,1095.6,272,"VN-37"
"52","Thái Bình",1570.5,1788.4,1139,"VN-20"
"53","Thái Nguyên",3536.4,1156,327,"VN-69"
"54","Thanh Hóa",11130.5,3476.6,312,"VN-21"
"55","Thừa Thiên Huế",5033.2,1123.8,223,"VN-26"
"56","Tiền Giang",2508.6,1703.4,679,"VN-46"
"57","Trà Vinh",2341.2,1027.5,439,"VN-51"
"58","Tuyên Quang",5867.3,746.7,127,"VN-07"
"59","Vĩnh Long",1520.2,1040.5,684,"VN-49"
"60","Vĩnh Phúc",1238.6,1029.4,831,"VN-70"
"61","Yên Bái",6886.3,771.6,112,"VN-06"
